AV_ID,PH_CO,CRN,DTIREGION,LEGSTAT,CO_BORNYR,UKSIC07_1,NAME,AD1,AD2,AD3,AD4,AD5,TOWN,COUNTY,COUNTRY,POSTCODE,PHONE,URL,MAILABLE,EMPLOYER
AVCO101,gbr904171699,3536163,England and Wales,Pri/Ltd by Guar (NSC),27/03/1998,9329,Hampton Canoe Club Ltd,52 Ashgrove Road,,,,,ASHFORD,Middlesex,gbr,TW15 1PJ,,,y,y
AVCO102,gbr904172487,3531393,England and Wales,Pri/Ltd by Guar (NSC),20/03/1998,85590,Whitefield Development Trust,Whitefield Schools & Centre,MacDonald Road,Walthamstow,,,LONDON,,gbr,E17 4AZ,+44 20 8531 3426,,y,y
AVCO103,gbr904169793,3526978,England and Wales,Pri/Ltd by Guar (NSC),13/03/1998,68320,Wards Farm Management Company,5 Wards Farm Greenmore,Woodcote,,,,READING,,gbr,RG8 0RB,,,n,y
AVCO104,gbr904171758,3520264,England and Wales,Pri/Ltd by Guar (NSC),02/03/1998,8899,Action Station South Tyneside Ltd,85-91 Boldon Lane,,,,,SOUTH SHIELDS,Tyne and Wear,gbr,NE34 0AS,+44 191 455 8122,www.actionstation.org.uk,y,y
AVCO105,gbr904155279,3522986,England and Wales,Pri/Ltd by Guar (NSC),01/01/1997,8899,Tamil Relief Centre,Community House,311 Fore Street,,,,LONDON,,gbr,N9 0PZ,+44 20 8373 6249,www.trcuk.org,y,y
AVCO106,gbr904172360,3532799,England and Wales,Pri/Ltd by Guar (NSC),23/03/1998,1722,Sanitation First Ltd,Limpley Mill,Lower Stoke,Limpley Stoke,,,BATH,,gbr,BA2 7FJ,,www.sanitationfirst.org,y,y
AVCO107,gbr904158890,3523463,England and Wales,Pri/Ltd by Guar (NSC),06/03/1998,98000,Thistledown Management Company Ltd,Larkspur Cottage,2 Thistledown Vale,The Drive,Ifold,Loxwood,BILLINGSHURST,West Sussex,gbr,RH14 0TN,,,y,y
AVCO108,gbr904171774,3536538,England and Wales,Pri/Ltd by Guar (NSC),06/10/1988,88100,West Indian Self Effort Social Care & Education Project Ltd,Alric Avenue,,,,,LONDON,,gbr,NW10 8RA,+44 20 8830 3337,www.wisesocialcare.org.uk,y,y
AVCO109,gbr904164482,3520057,England and Wales,Pri/Ltd by Guar (NSC),02/03/1998,68209,2 Talbot Place Residents Ltd,2 Talbot Place,Blackheath,,,,LONDON,,gbr,SE3 0TZ,,,n,y
AVCO110,gbr904173318,3538088,England and Wales,Pri/Ltd by Guar (NSC),31/03/1998,93290,Wimborne District Model Engineers,16A Burcombe Road,,,,,BOURNEMOUTH,,gbr,BH10 5JT,,,y,y
